aX,aY,aZ,gX,gY,gZ
0.182,-0.217,0.978,-421.082,-117.493,51.392
0.165,-0.403,0.645,-421.997,-130.554,70.740
0.143,-0.497,0.431,-407.349,-145.386,82.703
0.104,-0.554,0.424,-385.986,-150.330,81.970
0.119,-0.653,0.482,-367.737,-137.573,71.594
0.105,-0.834,0.447,-361.938,-117.004,55.969
0.171,-0.830,0.242,-368.835,-104.553,49.500
0.226,-0.780,0.019,-370.667,-101.624,54.382
0.191,-0.822,-0.099,-356.750,-100.830,64.880
0.115,-0.849,-0.174,-340.515,-97.046,72.327
0.056,-0.844,-0.323,-326.782,-93.994,73.303
